event,confidence,reasoning,sentiment_score
College Sports Move,"No place like home🏠

",If no predefined event matches,0.8543
Exciting announcement,0.0-1.0,why you chose this category,0.6249
event_name,0.0-1.0,The reasoning should explain why you chose that category,0.4466
If no predefined event matches,GigEm,If no predefined event matches,0.8684
If no predefined event matches,49.5,If no predefined event matches,0.4995
If no predefined event matches,concise and descriptive,They better be doing more than just changing the names,0.4404
"a graduation ceremony, a wedding reception",0.0,If no predefined event matches,0.6239
first 4-year college program for students with intellectual and developmental disabilities,concise and descriptive,If no predefined event matches,0.0
If no predefined event matches,15,If no predefined event matches,0.9593
If no predefined event matches,0.0-1.0,why you chose this category,-0.4767
If no predefined event matches,0.8,If no predefined event matches,0.0
first 4-year college program for students with intellectual and developmental disabilities,0.9,significant event in the field of medicine,0.0
event_name,0.0-1.0,why you chose this category,0.3818
If no predefined event matches,21.5,If no predefined event matches,-0.8126
If no predefined event matches,0.0,If no predefined event matches,0.5267
If no predefined event matches,Languaging #Belonging,If no predefined event matches,0.0
If no predefined event matches,concise and descriptive,If no predefined event matches,0.1511
College Sports Move,SportsBettingX,To solve this exercise,0.4824
If no predefined event matches,5,If no predefined event matches,0.5719
If no predefined event matches,0.9,"Brandon Borders, SBN Wescott, and Doc Texas all transferred to Texas, making it a significant event for the university and its alumni.",0.0258
If no predefined event matches,"4xOeDPUbcJ
 
#bookblast
",If no predefined event matches,-0.296
If no predefined event matches,"4xOeDPUbcJ

#bookblast
",If no predefined event matches,-0.296
If no predefined event matches,"4xOeDPUbcJ

#bookblast
",If no predefined event matches,-0.296
If no predefined event matches,0.0-1.0,why you chose this category,0.6486
event_name,0.0-1.0,"""why you chose this category",-0.6808
an event related to a university being ranked as the top university in Texas,765-532-5100,If no predefined event matches,0.0
SMU making the playoffs before A&amp;M,concise and descriptive,If no predefined event matches,0.7345
If no predefined event matches,concise and descriptive,If no predefined event matches,0.8687
College Basketball Championship,University of Texas in Stanford,If no predefined event matches,0.2732
Covid-19 pandemic,"##OUTPUT
{",If no predefined event matches,0.0
an event related to a university being ranked as the top university in Texas,0.0-1.0,why you chose this category,0.6486
If no predefined event matches,0.0-1.0,If no predefined event matches,0.4767
If no predefined event matches,49.5,If no predefined event matches,0.5461
If no predefined event matches,concise and descriptive,If no predefined event matches,0.8718
The International Youth Climate Summit,0.0-1.0,"""reasoning",0.6239
education,0.8,"The tweet mentions that Rollins graduated cum laude from Texas A&amp;M University, indicating that she received a formal education.",0.0
If no predefined event matches,0.0-1.0,the event is related to the university and its activities,0.0
education,0.0-1.0,why you chose this category,0.0
education,1⃣,If no predefined event matches,0.6808
If no predefined event matches,concise and descriptive,If no predefined event matches,0.2462
first 4-year college program for students with intellectual and developmental disabilities,0.9,"The tweet mentions a specific degree and university, which is related to the event category of education and learning.",0.0
Qatar campus closure,2021,If no predefined event matches,0.8829
The legendary football rivalry,0.8,"The tweet mentions Innovation Forward day 1, which is a predefined event category.",0.5719
IF2024 Conference,concise and descriptive,If no predefined event matches,-0.296
political_dispute,0.9,"The tweet discusses the disbandment of a LGBTQ studies minor at Texas A&amp;M University, which is a political controversy surrounding the treatment of LGBTQ individuals in academia.",0.0
College Sports Move,0.8,"The tweet mentions a sports-related topic, specifically the offensive performance of the Arkansas team compared to the A&amp;M team. This tweet is likely to be about sports news.",-0.6222
Qatar campus closure,0.8,"The tweet mentions a tragic event that occurred on the Texas A&amp;M campus 25 years ago, resulting in the death of 12 people. The tweet also mentions the anniversary of the event, indicating that it is still a significant event in the university's history.",-0.8271
The legendary football rivalry,0.9,"This event is a sports rivalry between two universities in Texas, which matches the description in the tweet.",0.0
grad_degree,0.8,"The tweet mentions a graduate degree and the comparison between two universities. This suggests that the person is considering pursuing a graduate degree in the future, which falls under the category of ""grad_degree"". The tweet also mentions the cost of finishing at The University of Texas vs Texas A&amp;M, which could be a factor in their decision-making process.",0.0
Exciting announcement,0.8,If no predefined event matches,0.7644
If no predefined event matches,concise and descriptive,If no predefined event matches,0.4678
The International Youth Climate Summit,RI4yV7jLKf,If no predefined event matches,0.5826
